country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Northern Ireland,,12/20/2020,16068,16068,,,1778,0.85,0.85,,939,"Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,12/20/2020,,,,,3357,,,,23,Sputnik V
Scotland,,12/20/2020,60106,60106,,,5873,1.1,1.1,,1075,"Oxford/AstraZeneca, Pfizer/BioNTech"
United Kingdom,GBR,12/20/2020,673798,673798,,,83940,0.99,0.99,,1236,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,12/20/2020,556208,556208,,,,0.17,0.17,,,"Moderna, Pfizer/BioNTech"
Wales,,12/20/2020,23766,23766,,,2223,0.75,0.75,,705,"Oxford/AstraZeneca, Pfizer/BioNTech"
China,CHN,12/21/2020,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
England,,12/21/2020,,,,,68942,,,,1225,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,12/21/2020,32253,32253,,24851,16098,0.37,0.37,,1860,"Moderna, Pfizer/BioNTech"
Northern Ireland,,12/21/2020,,,,,1829,,,,966,"Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,12/21/2020,,,,,3357,,,,23,Sputnik V
Scotland,,12/21/2020,,,,,5736,,,,1050,"Oxford/AstraZeneca, Pfizer/BioNTech"
United Kingdom,GBR,12/21/2020,,,,,78666,,,,1159,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,12/21/2020,614117,614117,,57909,57909,0.18,0.18,,173,"Moderna, Pfizer/BioNTech"
Wales,,12/21/2020,,,,,2159,,,,685,"Oxford/AstraZeneca, Pfizer/BioNTech"
China,CHN,12/22/2020,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
England,,12/22/2020,,,,,63817,,,,1134,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,12/22/2020,76838,76838,,44585,25593,0.89,0.89,,2957,"Moderna, Pfizer/BioNTech"
Northern Ireland,,12/22/2020,,,,,1880,,,,993,"Oxford/AstraZeneca, Pfizer/BioNTech"
Qatar,QAT,12/22/2020,0,,,,,0,,,,Pfizer/BioNTech
Russia,RUS,12/22/2020,52000,52000,,,3357,0.04,0.04,,23,Sputnik V
Scotland,,12/22/2020,,,,,5599,,,,1025,"Oxford/AstraZeneca, Pfizer/BioNTech"
United Kingdom,GBR,12/22/2020,,,,,73391,,,,1081,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,12/22/2020,,,,,127432,,,,381,"Moderna, Pfizer/BioNTech"
Wales,,12/22/2020,,,,,2095,,,,664,"Oxford/AstraZeneca, Pfizer/BioNTech"
Bahrain,BHR,12/23/2020,38965,38965,,,,2.29,2.29,,,"Pfizer/BioNTech, Sinopharm/Beijing"
China,CHN,12/23/2020,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
England,,12/23/2020,,,,,58692,,,,1043,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,12/23/2020,139448,139448,,62610,34848,1.61,1.61,,4026,"Moderna, Pfizer/BioNTech"
Northern Ireland,,12/23/2020,,,,,1931,,,,1020,"Oxford/AstraZeneca, Pfizer/BioNTech"
Qatar,QAT,12/23/2020,,,,,1351,,,,469,Pfizer/BioNTech
Russia,RUS,12/23/2020,,,,,12592,,,,86,Sputnik V
Scotland,,12/23/2020,,,,,5462,,,,1000,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,12/23/2020,0,,,,,0,,,,"Moderna, Pfizer/BioNTech"
United Kingdom,GBR,12/23/2020,,,,,68117,,,,1003,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,12/23/2020,1008025,1008025,,,150606,0.3,0.3,,450,"Moderna, Pfizer/BioNTech"
Wales,,12/23/2020,,,,,2031,,,,644,"Oxford/AstraZeneca, Pfizer/BioNTech"
Bahrain,BHR,12/24/2020,50071,50071,,11106,11106,2.94,2.94,,6527,"Pfizer/BioNTech, Sinopharm/Beijing"
Chile,CHL,12/24/2020,420,420,,,,0,0,,,"Pfizer/BioNTech, Sinovac"
China,CHN,12/24/2020,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,12/24/2020,55,,,,,0,,,,Pfizer/BioNTech
England,,12/24/2020,,,,,53567,,,,952,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,12/24/2020,212747,212747,,73299,42538,2.46,2.46,,4915,"Moderna, Pfizer/BioNTech"
Mexico,MEX,12/24/2020,2924,2924,,,,0,0,,,Pfizer/BioNTech
Northern Ireland,,12/24/2020,,,,,1982,,,,1047,"Oxford/AstraZeneca, Pfizer/BioNTech"
Qatar,QAT,12/24/2020,,,,,1351,,,,469,Pfizer/BioNTech
Russia,RUS,12/24/2020,,,,,21827,,,,150,Sputnik V
Scotland,,12/24/2020,,,,,5325,,,,975,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,12/24/2020,,,,,3000,,,,347,"Moderna, Pfizer/BioNTech"
United Kingdom,GBR,12/24/2020,,,,,62842,,,,926,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,12/24/2020,,,,,191001,,,,571,"Moderna, Pfizer/BioNTech"
Wales,,12/24/2020,,,,,1968,,,,624,"Oxford/AstraZeneca, Pfizer/BioNTech"
Bahrain,BHR,12/25/2020,50543,50543,,472,5789,2.97,2.97,,3402,"Pfizer/BioNTech, Sinopharm/Beijing"
Chile,CHL,12/25/2020,5199,5199,,4779,4779,0.03,0.03,,250,"Pfizer/BioNTech, Sinovac"
China,CHN,12/25/2020,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,12/25/2020,,,,,240,,,,47,Pfizer/BioNTech
England,,12/25/2020,,,,,48442,,,,861,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,12/25/2020,251288,251288,,38541,41872,2.9,2.9,,4838,"Moderna, Pfizer/BioNTech"
Mexico,MEX,12/25/2020,,,,,1300,,,,10,Pfizer/BioNTech
Northern Ireland,,12/25/2020,,,,,2033,,,,1074,"Oxford/AstraZeneca, Pfizer/BioNTech"
Qatar,QAT,12/25/2020,,,,,1351,,,,469,Pfizer/BioNTech
Russia,RUS,12/25/2020,,,,,31061,,,,213,Sputnik V
Scotland,,12/25/2020,,,,,5189,,,,950,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,12/25/2020,,,,,3000,,,,347,"Moderna, Pfizer/BioNTech"
United Kingdom,GBR,12/25/2020,,,,,57568,,,,848,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,12/25/2020,,,,,215238,,,,644,"Moderna, Pfizer/BioNTech"
